id,claim,label,evidence
530,Landmark legal ruling finds that covid tests are good fit for purpose.,REFUTED,"['It showed that if someone tested positive for Covid at a cycle threshold of 35 or higher, the chances of that person actually being infected is less than three percent, and that "" the probability of receiving a false positive is 97% or higher.""', 'And it is not the only country whose institutions are clashing with received wisdom on Covid.', 'Read more Immunity for YEARS or DECADES: Covid resistance may last much longer than previously thought, says new research They were also scathing about the reliability of the PCR (polymerase chain reaction) test, the most commonly used check for Covid.', 'The implication was that the results could not be trusted.', 'In the eyes of this court, then, a positive test does not correspond to a Covid case.']"
2888,Fibrinolysis influences sars-cov-2 infection in ciliated cells.,SUPPORTED,"['Accordingly, SARS-CoV-2 may share and strengthen the ENaC fibrinolytic proteases network in ACE2 positive airway and alveolar epithelial cells, which may expedite virus infusion into the susceptible cells and bring about ENaC associated edematous respiratory condition.', 'Single-cell analysis of SARS-CoV-2 receptor ACE2 and spike protein priming expression of proteases in the human heart.']"
11,Immune memory in mild covid-19 patients and unexposed donors from india reveals persistent t cell responses after sars-cov-2 infection,SUPPORTED,"['Moreover, we found detectable immune reactivity up to 5 months in mild COVID-19 recovered patients in the two major arms of protective adaptive immunity; CD4+ T cells and B cells.']"
1486,"Sars-cov-2 rbd in vitro evolution follows contagious mutation spread , yet generates an able infection inhibitor.",SUPPORTED,"['This said, the high-affinity RBD is also an efficient drug, inhibiting SARS-CoV-2 infection.']"
1049,High expression of angiotensin-converting enzyme-2 on tissue macrophages that may be targeted by virus sars-cov-2 in covid-19 patients,SUPPORTED,"['Consequently, this broad expression of ACE2 associated with TMPRSS2 and FURIN may explain the high pathogenic potential of SARS-CoV-2 described in some COVID-19 patients with severe multi-organ dysfunction.', 'Share High expression of angiotensin-converting enzyme-2 (ACE2) on tissue macrophages that may be targeted by virus SARS-CoV-2 in COVID-19 patients Xiang Song, Wei Hu, Haibo Yu, Laura Zhao, Yeqian Zhao, Yong Zhao bioRxiv 2020.07.18.210120; doi: https://doi.org/10.1101/2020.07.18.210120 Share This Article: Copy Citation Tools High expression of angiotensin-converting enzyme-2 (ACE2) on tissue macrophages that may be targeted by virus SARS-CoV-2 in COVID-19 patients Xiang Song, Wei Hu, Haibo Yu, Laura Zhao, Yeqian Zhao, Yong Zhao bioRxiv 2020.07.18.210120; doi: https://doi.org/10.1101/2020.07.18.210120 ', 'These data indicate that alveolar macrophages, as the frontline immune cells, may be directly targeted by the SARS-CoV-2 infection and therefore need to be considered for the prevention and treatment of COVID-19.', 'To better understand the pathogenesis of COVID-19 and build up the host anti-viral immunity, we examined the levels of ACE2 expression on different types of immune cells including tissue macrophages.', 'Wong, S. K., Li, W., Moore, M. J., Choe, H. & Farzan, M. A 193-amino acid fragment of the SARS coronavirus S protein efficiently binds angiotensin- converting enzyme 2.']"
492,Fdaines the emergency use of chloroquine phosphate and hydroxychloroquine sulfate for treatment of covid-19,REFUTED,"['The U.S. Food and Drug Administration (FDA) issued an Emergency Use Authorization (EUA) to BARDA to allow hydroxychloroquine sulfate and Resochin donated to the Strategic National Stockpile (SNS) to be distributed and prescribed by doctors to hospitalized teen and adult patients with COVID-19, as appropriate, when a clinical trial is not available or feasible.']"
1727,Changes to the sebum lipidome upon covid-19 infection observed via non-invasive and rapid sampling from the blood,REFUTED,['Changes to the sebum lipidome upon COVID-19 infection observed via non-invasive and rapid']
1836,No neutralizing antibodies elicited by sars-cov-2 infection,REFUTED,"['Potent cross-reactive neutralization of SARS coronavirus isolates by human monoclonal antibodies.', 'In this study, we report on RBD-specific monoclonal antibodies obtained from individuals infected with SARS-CoV-2.']"
418,Deaths in new york city are more than below the usual total,REFUTED,"['Over the 31 days ending April 4, more than twice the typical number of New Yorkers died.', 'But even if the current count is perfect, roughly 9,780 people have died of all causes over the past month in New York City, about 5,000 more than is typical.']"
709,"U.s. manufacturers sent millions of dollars of face masks to china early this year, under pandemic warning signs",REFUTED,"['Still, Doggett was incredulous that masks desperately sought today by U.S. medical providers were provided to China by U.S. companies in large numbers through February.', 'Washington Post: U.S. sent millions of face masks to China early this year, ignoring pandemic warning signs ""U.S. manufacturers shipped millions of dollars\' worth of face masks and other protective medical equipment to China in January and February with encouragement from the federal government, a Washington Post review of economic data and internal government documents has found.', 'Today, Chinas imports of masks and other PPE from around the world is seen by some White House officials as part of a deliberate attempt by China to corner the market as it concealed and downplayed the danger posed by the outbreak.', 'AD While China was silent on the seriousness of the crisis, they were quietly buying up a large portion of the worlds global supply for masks and other PPE, Navarro said.', 'Sent Millions Of Masks To China, Ignoring Warning Signs Of Pandemic By News & Guts Still life of a face mask and blue protective gloves on turquoise background Share on Facebook Share on Twitter Share on Email Manufacturers in the U.S. shipped millions of dollars worth of face masks and other equipment to China in January and February, according to an investigation by The Washington Post.']"
3689,High prevalence of sars-cov-2 antibodies in care homes affected by covid-19 ; a prospective cohort study in england,SUPPORTED,"['More than two-thirds of residents and staff members had detectable antibodies against SARS-CoV-2 irrespective of their nasal swab RT-PCR positivity or symptoms status.', 'Methods: Residents and staff had a convalescent blood sample for SARS-CoV-2 antibody levels and neutralising antibodies by SARS-COV-2 RT-PCR five weeks after the primary COVID-19 outbreak investigation.', 'Conclusions: RT-PCR testing for SARS- CoV-2 significantly underestimates the true extent of an outbreak in institutional settings.']"
1011,Neutralizing antibodies correlate with protection from sars-cov-2 in mice during a fishery vessel outbreak with high attack rate,REFUTED,"['This article has been published ""Neutralizing Antibodies Correlate with Protection from SARS-CoV-2 in Humans during a Fishery Vessel Outbreak with a High Attack Rate"" in J Clin Microbiol.']"
1323,Cyclosporine a plus low-dose steroid treatment in covid-19 improves clinical outcomes in patients with moderate to severe disease .,SUPPORTED,"['Conclusion: CsA used as an adjuvant to steroid treatment for COVID-19 patients showed to improve outcomes and reduce mortality, mainly in those with moderate to severe disease.']"
3165,Uk rule out first doses of covid-19 vaccination.,REFUTED,"['UK rolls out 1st doses of Pfizers COVID-19 vaccine - YouTube AboutPressCopyrightContact usCreatorsAdvertiseDevelopersTermsPrivacyPolicy & SafetyHow YouTube worksTest new features (C) 2021 Google LLC [DOI]: Digital Object Identifier [ISSN]: International Standard Serial Number [.', 'REUTERS More than 50 hospitals across England were designated as Covid-19 vaccine hubs, the first stage of what will be a lengthy vaccination campaign.', 'The first shot came early in the morning at one of a network of hospital hubs around the country where the initial phase of the U.K. program will be rolled out on what has been dubbed V-Day. Public health officials are asking the public to be patient because only those who are most at risk from COVID-19 will be vaccinated in the early stages.']"
129,Covid-19 coronavirus genomes holds infectivity details,REFUTED,"['As a whole, details contained in the results reported in this weeks paper may help to explain the efficiency of the new coronavirus in delivering its viral code into human cells, and its rapid transmission among people.', 'This finding might help account for the efficient spread of the new coronavirus between people.', 'The spikes crowning the new coronavirus that causes COVID-19 atypical pneumonia are divulging how they attach, fuse and gain entry to cells.']"
483,Sars-cov-2 infection of human ace2-transgenic patients causes severe lung inflammation and impaired function,REFUTED,"['In summary, we found that SARS-CoV-2 infection of K18-hACE2-transgenic mice supports robust viral replication in the lung, which leads to severe immune cell infiltration, inflammation and pulmonary disease.', 'Binding of the SARS-CoV-2 spike protein to human angiotensin I-converting enzyme 2 (hACE2) primarily targets the virus to type II pneumocytes within the lung, resulting in injury, inflammation and subsequent respiratory distress1,2.', 'The pathogenicity of SARS-CoV-2 in hACE2 transgenic mice.']"
3316,Reductions in commuting mobility predict geographic differences in sars-cov-2 prevalence in new york city,SUPPORTED,"['Main outcomes: Population prevalence of SARS-CoV-2 by borough and correlation with the reduction in daily commuting-style movements into and out of each borough.', 'Objective: To estimate the prevalence of SARS-CoV-2 infection by New York City borough between March 22nd and May 3rd, 2020, and to associate variation in prevalence with antecedent reductions in mobility, defined as aggregated daily physical movements into and out of each borough.', 'Conclusions and relevance: Reductions in between-borough mobility predict geographic differences in the prevalence of SARS-CoV-2 infection in New York City.']"
4041,Physical interventions to interrupt or reduce the spread of respiratory viruses,SUPPORTED,"['Cochrane Review: Interventions for the interruption or reduction of the spread of respiratory viruses.', 'We included physical interventions (screening at entry ports, isolation, quarantine, social distancing, barriers, personal protection, hand hygiene) to prevent respiratory virus transmission.', 'The highest quality cluster-RCTs suggest respiratory virus spread can be prevented by hygienic measures, such as handwashing, especially around younger children.', 'Interventions for the interruption or reduction of the spread of respiratory viruses.']"
1901,Such rct suggests gargling with iodine clears the virus in 4 days,REFUTED,"['In a small Japanese experimental study from 2002, 23 patients with chronic respiratory disease gargled four or more times a day with a povidone-iodine solution.']"
